student_id,study_hours,attendance,assignments_completed,quiz_score,activity_level
1,12,95,10,92,Tinggi
2,10,90,9,88,Tinggi
3,8,85,8,82,Tinggi
4,6,75,7,74,Sedang
5,4,60,5,65,Sedang
6,2,45,3,52,Rendah
7,11,92,10,90,Tinggi
8,9,88,8,85,Tinggi
9,7,80,7,78,Sedang
10,5,70,6,68,Sedang
11,3,55,4,58,Rendah
12,1,40,2,45,Rendah
13,13,98,10,95,Tinggi
14,10,93,9,89,Tinggi
15,8,82,8,80,Tinggi
16,6,78,6,73,Sedang
17,4,65,5,64,Sedang
18,2,50,3,55,Rendah
19,12,96,10,94,Tinggi
20,9,86,9,84,Tinggi
21,7,72,7,76,Sedang
22,5,68,6,70,Sedang
23,3,58,4,60,Rendah
24,1,35,2,42,Rendah
25,11,91,9,87,Tinggi
26,8,84,8,81,Tinggi
27,6,77,7,75,Sedang
28,4,62,5,66,Sedang
29,2,48,3,50,Rendah
30,10,89,9,86,Tinggi
